gene_IDs,DMSO,BPA
ENSG00000008735,4.103390146,4.333125332
ENSG00000113558,12.5629138,12.57966597
ENSG00000214353,2.643976796,1.77172104
ENSG00000169203,4.840710337,5.36519797
ENSG00000076924,4.310355615,4.610625311
ENSG00000223572,4.263392176,4.462621486
ENSG00000134962,7.075425413,7.060961014
ENSG00000278970,5.429363108,6.391543975
ENSG00000162521,10.22805842,10.17586924
ENSG00000064607,7.203016212,7.244348591
ENSG00000232643,2.169670993,3.104587959
ENSG00000117533,4.112711222,4.051024018
ENSG00000106565,11.92807933,11.93916432
ENSG00000250334,6.010611974,6.4283279
ENSG00000189410,5.599198938,6.345171202
ENSG00000179832,5.673391259,5.923598513
ENSG00000233222,1.589131186,1.894675444
ENSG00000248468,2.300624595,2.09690515
ENSG00000186300,5.708849335,5.813473454
ENSG00000186115,9.440067712,9.395099111
ENSG00000107731,5.903716119,5.609144292
ENSG00000237854,8.346912148,8.342807715
ENSG00000187682,2.561838402,2.67222163
ENSG00000221676,4.881085297,5.064579613
ENSG00000169359,6.560017034,6.553942387
ENSG00000283154,6.886294217,7.075886742
ENSG00000233082,3.619897055,3.889562044
ENSG00000147604,14.22991271,14.0667258
ENSG00000112739,6.628272354,6.28881741
ENSG00000115524,6.112610015,5.868884856
ENSG00000288075,8.931385722,8.970699912
ENSG00000237297,3.680994137,3.453812037
ENSG00000260549,14.66672839,14.79730374
ENSG00000196507,2.744959848,0.0853792
ENSG00000171503,10.92294825,10.90454213
ENSG00000245498,0.987178829,2.155658084
ENSG00000168890,6.788716559,6.876797904
ENSG00000227906,2.524551516,1.592517762
ENSG00000189369,8.093464161,8.098518003
ENSG00000133114,6.037336632,5.892588011
ENSG00000287550,3.773615024,3.40460862
ENSG00000231298,2.214197376,2.384102675
ENSG00000185658,7.253165822,7.226276928
ENSG00000165572,8.023990359,8.042603784
ENSG00000166454,7.506679748,7.427888767
ENSG00000213413,4.951596548,4.972493839
ENSG00000169562,8.882713523,8.706955954
ENSG00000228707,3.164234925,2.118223877
ENSG00000100316,14.52502448,14.57236502
ENSG00000247828,6.023157563,5.844453423
ENSG00000085224,2.841903341,2.579533528
ENSG00000105329,8.363872793,8.299830562
ENSG00000197299,3.644216654,3.524454824
ENSG00000116133,13.21455162,13.31329694
ENSG00000149177,8.295519259,8.236535658
ENSG00000151532,5.592261859,5.427198339
ENSG00000227301,2.822911867,1.960447541
ENSG00000226686,9.787581652,9.372186057
ENSG00000237837,9.460608377,9.3703311
ENSG00000226163,2.855743573,1.828403776
ENSG00000187257,6.971752176,6.956622219
ENSG00000160209,4.828993899,4.614121046
ENSG00000151208,9.527712294,9.586989506
ENSG00000113575,8.721023177,8.707481017
ENSG00000227375,4.639953535,4.046916199
ENSG00000090054,2.828999157,2.921265292
ENSG00000249346,2.897811337,2.0842049
ENSG00000101888,2.866341982,2.544582817
ENSG00000162869,5.331709663,5.195082917
ENSG00000131013,6.651463847,6.471358521
ENSG00000085514,8.580039659,8.884208327
ENSG00000254731,6.083636176,6.138037951
ENSG00000083828,2.618487166,2.523247272
ENSG00000182004,9.272561921,9.125298808
ENSG00000173588,5.090736434,4.700902276
ENSG00000061987,4.126410665,4.064795977
ENSG00000132589,9.322716858,9.519904515
ENSG00000189159,12.24907007,12.27109878
ENSG00000166152,3.318318414,3.153350031
ENSG00000128245,8.223519614,8.189182242
ENSG00000068878,7.423574381,7.514153878
ENSG00000111652,7.488641297,7.620436644
